state,events,target_known,ncei_accepted,footprint_accepted,ncei_unresolved_candidates,footprint_unresolved_candidates,county_context_missing,start_longitude_missing,start_latitude_missing,month_missing,hour_utc_missing,radar_tvs_count_missing,radar_tvs_count_positive,radar_mda_count_missing,radar_mda_count_positive,radar_structure_count_missing,radar_structure_count_positive,radar_max_shear_per_s_missing,radar_max_velocity_difference_knots_missing,radar_max_rotation_velocity_knots_missing,radar_max_reflectivity_dbz_missing,radar_max_vil_kg_m2_missing,warning_active_tornado_count_missing,warning_active_tornado_count_positive,warning_active_severe_count_missing,warning_active_severe_count_positive,warning_tornado_lead_minutes_missing,post_land_developed_fraction_missing,post_land_forest_fraction_missing,post_land_cropland_fraction_missing,post_impervious_mean_percent_missing,post_nlcd_valid_fraction_missing,nlcd_zero_pixel_centers,nlcd_no_valid_class_pixels,area_method_fixed_buffer_of_reported_endpoint_track,area_method_union_of_accepted_footprints,nlcd_complete,nlcd_unavailable,nlcd_failed,nlcd_budget_exceeded,nlcd_not_requested,radar_complete,radar_unavailable,radar_failed,radar_budget_exceeded,radar_not_requested,warnings_complete,warnings_unavailable,warnings_failed,warnings_budget_exceeded,warnings_not_requested
GA,619,0.9919224555735057,0.9450726978998385,0.7027463651050081,0.06946688206785137,0.2665589660743134,0.0,0.0,0.0,0.0,0.0,0.0,0.3263327948303716,0.0,0.7980613893376414,0.0,0.9369951534733441,0.6736672051696284,0.6736672051696284,0.20193861066235863,0.0630048465266559,0.0630048465266559,0.0,0.5331179321486268,0.0,0.4975767366720517,0.4668820678513732,0.012924071082390954,0.012924071082390954,0.012924071082390954,0.012924071082390954,0.012924071082390954,0.012924071082390954,0.012924071082390954,0.2972536348949919,0.7027463651050081,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HI,3,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IA,911,0.8397365532381997,0.884742041712404,0.7574094401756312,0.16245883644346873,0.19538968166849616,0.0,0.0,0.0,0.0,0.0,0.0,0.21953896816684962,0.0,0.6663007683863886,0.0,0.9253567508232712,0.7804610318331504,0.7804610318331504,0.3336992316136114,0.07464324917672886,0.07464324917672886,0.0,0.5323819978046103,0.0,0.47859495060373214,0.4676180021953897,0.018660812294182216,0.018660812294182216,0.018660812294182216,0.018660812294182216,0.018660812294182216,0.018660812294182216,0.018660812294182216,0.24259055982436883,0.7574094401756312,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ID,36,0.9722222222222222,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.19444444444444445,0.0,0.4722222222222222,0.9722222222222222,0.9722222222222222,0.8055555555555556,0.5277777777777778,0.5277777777777778,0.0,0.16666666666666666,0.0,0.05555555555555555,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IL,1076,0.8819702602230484,0.8968401486988847,0.8039033457249071,0.1533457249070632,0.18866171003717472,0.0,0.0,0.0,0.0,0.0,0.0,0.33271375464684017,0.0,0.6942379182156134,0.0,0.879182156133829,0.6672862453531598,0.6672862453531598,0.30576208178438663,0.120817843866171,0.120817843866171,0.0,0.5315985130111525,0.0,0.483271375464684,0.4684014869888476,0.028810408921933085,0.028810408921933085,0.028810408921933085,0.028810408921933085,0.028810408921933085,0.028810408921933085,0.028810408921933085,0.19609665427509293,0.8039033457249071,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IN,538,0.9795539033457249,0.8531598513011153,0.7509293680297398,0.1821561338289963,0.25092936802973975,0.0,0.0,0.0,0.0,0.0,0.0,0.4368029739776952,0.0,0.7397769516728625,0.0,0.9089219330855018,0.5631970260223048,0.5631970260223048,0.26022304832713755,0.09107806691449814,0.09107806691449814,0.0,0.5223048327137546,0.0,0.5092936802973977,0.47769516728624534,0.020446096654275093,0.020446096654275093,0.020446096654275093,0.020446096654275093,0.020446096654275093,0.020446096654275093,0.020446096654275093,0.24907063197026022,0.7509293680297398,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KS,1019,0.8635917566241413,0.8616290480863592,0.6692836113837095,0.17075564278704614,0.2011776251226693,0.0,0.0,0.0,0.0,0.0,0.0,0.3307163886162905,0.0,0.7811579980372915,0.0,0.914622178606477,0.6692836113837095,0.6692836113837095,0.21884200196270853,0.08537782139352307,0.08537782139352307,0.0,0.6045142296368989,0.0,0.4337585868498528,0.39548577036310106,0.017664376840039256,0.017664376840039256,0.017664376840039256,0.017664376840039256,0.017664376840039256,0.017664376840039256,0.017664376840039256,0.3307163886162905,0.6692836113837095,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KY,519,0.9942196531791907,0.9171483622350675,0.7341040462427746,0.10789980732177264,0.2524084778420039,0.0,0.0,0.0,0.0,0.0,0.0,0.42003853564547206,0.0,0.8497109826589595,0.0,0.9576107899807321,0.5799614643545279,0.5799614643545279,0.15028901734104047,0.04238921001926782,0.04238921001926782,0.0,0.5009633911368016,0.0,0.4932562620423892,0.49903660886319845,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.0019267822736030828,0.2658959537572254,0.7341040462427746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LA,827,0.9685610640870617,0.8911729141475212,0.7049576783555018,0.09189842805320435,0.24667472793228537,0.0,0.0,0.0,0.0,0.0,0.0,0.33252720677146314,0.0,0.7859733978234583,0.0,0.9371221281741233,0.6674727932285369,0.6674727932285369,0.2140266021765417,0.06287787182587666,0.06287787182587666,0.0,0.5671100362756953,0.0,0.43409915356711004,0.4328899637243047,0.012091898428053204,0.012091898428053204,0.012091898428053204,0.012091898428053204,0.012091898428053204,0.012091898428053204,0.012091898428053204,0.2950423216444982,0.7049576783555018,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MA,46,1.0,0.9130434782608695,0.8478260869565217,0.10869565217391304,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,0.782608695652174,0.0,0.9347826086956522,0.4782608695652174,0.4782608695652174,0.21739130434782608,0.06521739130434782,0.06521739130434782,0.0,0.5217391304347826,0.0,0.4782608695652174,0.4782608695652174,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.15217391304347827,0.8478260869565217,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MD,132,0.9924242424242424,0.946969696969697,0.8939393939393939,0.07575757575757576,0.10606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.7348484848484849,0.0,0.8939393939393939,0.4166666666666667,0.4166666666666667,0.26515151515151514,0.10606060606060606,0.10606060606060606,0.0,0.6060606060606061,0.0,0.4318181818181818,0.3939393939393939,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.10606060606060606,0.8939393939393939,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ME,29,1.0,1.0,0.896551724137931,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.0,0.5517241379310345,0.0,1.0,0.6206896551724138,0.6206896551724138,0.4482758620689655,0.0,0.0,0.0,0.3448275862068966,0.0,0.6206896551724138,0.6551724137931034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.896551724137931,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MI,221,0.9909502262443439,0.9592760180995475,0.8371040723981901,0.06787330316742081,0.13574660633484162,0.0,0.0,0.0,0.0,0.0,0.0,0.2669683257918552,0.0,0.6018099547511312,0.0,0.9140271493212669,0.7330316742081447,0.7330316742081447,0.39819004524886875,0.08597285067873303,0.08597285067873303,0.0,0.3257918552036199,0.0,0.497737556561086,0.6742081447963801,0.013574660633484163,0.013574660633484163,0.013574660633484163,0.013574660633484163,0.013574660633484163,0.013574660633484163,0.013574660633484163,0.16289592760180996,0.8371040723981901,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MN,738,0.9471544715447154,0.907859078590786,0.6666666666666666,0.13143631436314362,0.2506775067750677,0.0,0.0,0.0,0.0,0.0,0.0,0.2046070460704607,0.0,0.6476964769647696,0.0,0.9159891598915989,0.7953929539295393,0.7953929539295393,0.3523035230352303,0.08401084010840108,0.08401084010840108,0.0,0.559620596205962,0.0,0.44173441734417346,0.44037940379403795,0.01084010840108401,0.01084010840108401,0.01084010840108401,0.01084010840108401,0.01084010840108401,0.01084010840108401,0.01084010840108401,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MO,808,0.9851485148514851,0.9108910891089109,0.7722772277227723,0.10767326732673267,0.17574257425742573,0.0,0.0,0.0,0.0,0.0,0.0,0.2438118811881188,0.0,0.7871287128712872,0.0,0.943069306930693,0.7561881188118812,0.7561881188118812,0.21287128712871287,0.05693069306930693,0.05693069306930693,0.0,0.6076732673267327,0.0,0.5321782178217822,0.39232673267326734,0.017326732673267328,0.017326732673267328,0.017326732673267328,0.017326732673267328,0.017326732673267328,0.017326732673267328,0.017326732673267328,0.22772277227722773,0.7722772277227723,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MS,1117,0.9937332139659804,0.9077887197851388,0.8048343777976723,0.12712623097582812,0.18173679498657117,0.0,0.0,0.0,0.0,0.0,0.0,0.3196060877350045,0.0,0.7752909579230081,0.0,0.9418084153983886,0.6803939122649956,0.6803939122649956,0.22470904207699194,0.05819158460161146,0.05819158460161146,0.0,0.6991942703670546,0.0,0.4610564010743062,0.3017009847806625,0.0017905102954341987,0.0017905102954341987,0.0017905102954341987,0.0017905102954341987,0.0017905102954341987,0.0017905102954341987,0.0017905102954341987,0.19516562220232767,0.8048343777976723,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MT,77,0.922077922077922,0.974025974025974,0.5194805194805194,0.03896103896103896,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.5194805194805194,0.0,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.4805194805194805,0.18181818181818182,0.18181818181818182,0.0,0.2857142857142857,0.0,0.4805194805194805,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4805194805194805,0.5194805194805194,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC,456,0.9912280701754386,0.9605263157894737,0.8114035087719298,0.07894736842105263,0.14692982456140352,0.0,0.0,0.0,0.0,0.0,0.0,0.35526315789473684,0.0,0.6162280701754386,0.0,0.918859649122807,0.6447368421052632,0.6447368421052632,0.38377192982456143,0.08114035087719298,0.08114035087719298,0.0,0.6403508771929824,0.0,0.2850877192982456,0.35964912280701755,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.18859649122807018,0.8114035087719298,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ND,441,0.8367346938775511,0.9387755102040817,0.7573696145124716,0.08163265306122448,0.09977324263038549,0.0,0.0,0.0,0.0,0.0,0.0,0.26077097505668934,0.0,0.5895691609977324,0.0,0.8752834467120182,0.7392290249433107,0.7392290249433107,0.41043083900226757,0.12471655328798185,0.12471655328798185,0.0,0.6621315192743764,0.0,0.3854875283446712,0.3378684807256236,0.024943310657596373,0.024943310657596373,0.024943310657596373,0.024943310657596373,0.024943310657596373,0.024943310657596373,0.024943310657596373,0.24263038548752835,0.7573696145124716,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NE,711,0.8368495077355836,0.8860759493670886,0.5780590717299579,0.14627285513361463,0.18706047819971872,0.0,0.0,0.0,0.0,0.0,0.0,0.3670886075949367,0.0,0.7440225035161744,0.0,0.9071729957805907,0.6329113924050633,0.6329113924050633,0.2559774964838256,0.09282700421940929,0.09282700421940929,0.0,0.5513361462728551,0.0,0.5246132208157525,0.44866385372714485,0.02812939521800281,0.02812939521800281,0.02812939521800281,0.02812939521800281,0.02812939521800281,0.02812939521800281,0.02812939521800281,0.4219409282700422,0.5780590717299579,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NH,18,1.0,1.0,0.7222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.4444444444444444,0.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.2777777777777778,0.0,0.4444444444444444,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.7222222222222222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NJ,53,1.0,1.0,0.9245283018867925,0.03773584905660377,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.7169811320754716,0.0,0.8113207547169812,0.0,0.9245283018867925,0.2830188679245283,0.2830188679245283,0.18867924528301888,0.07547169811320754,0.07547169811320754,0.0,0.39622641509433965,0.0,0.5283018867924528,0.6037735849056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07547169811320754,0.9245283018867925,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NM,157,0.7388535031847133,0.9171974522292994,0.8152866242038217,0.08917197452229299,0.06369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.08280254777070063,0.0,0.5477707006369427,0.0,0.8535031847133758,0.9171974522292994,0.9171974522292994,0.45222929936305734,0.1464968152866242,0.1464968152866242,0.0,0.2611464968152866,0.0,0.4713375796178344,0.7388535031847133,0.01910828025477707,0.01910828025477707,0.01910828025477707,0.01910828025477707,0.01910828025477707,0.01910828025477707,0.01910828025477707,0.18471337579617833,0.8152866242038217,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NV,20,0.95,0.95,0.55,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.65,0.95,0.95,0.9,0.35,0.35,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NY,171,0.9707602339181286,0.9766081871345029,0.8362573099415205,0.029239766081871343,0.07602339181286549,0.0,0.0,0.0,0.0,0.0,0.0,0.22807017543859648,0.0,0.6140350877192983,0.0,0.9064327485380117,0.7719298245614035,0.7719298245614035,0.38596491228070173,0.0935672514619883,0.0935672514619883,0.0,0.4678362573099415,0.0,0.5614035087719298,0.5321637426900585,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.16374269005847952,0.8362573099415205,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OH,515,0.9864077669902913,0.9048543689320389,0.7786407766990291,0.10679611650485436,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5048543689320388,0.0,0.7165048543689321,0.0,0.9398058252427185,0.49514563106796117,0.49514563106796117,0.283495145631068,0.06019417475728155,0.06019417475728155,0.0,0.5398058252427185,0.0,0.5009708737864078,0.4601941747572815,0.015533980582524271,0.015533980582524271,0.015533980582524271,0.015533980582524271,0.015533980582524271,0.015533980582524271,0.015533980582524271,0.22135922330097088,0.7786407766990291,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OK,1310,0.8679389312977099,0.8557251908396947,0.483206106870229,0.22213740458015266,0.29770992366412213,0.0,0.0,0.0,0.0,0.0,0.0,0.5557251908396946,0.0,0.9015267175572519,0.0,0.9374045801526718,0.4442748091603053,0.4442748091603053,0.0984732824427481,0.06259541984732825,0.06259541984732825,0.0,0.684732824427481,0.0,0.5916030534351145,0.3152671755725191,0.00916030534351145,0.00916030534351145,0.00916030534351145,0.00916030534351145,0.00916030534351145,0.00916030534351145,0.00916030534351145,0.516793893129771,0.483206106870229,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OR,36,0.9166666666666666,0.9722222222222222,0.8055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.1111111111111111,0.0,0.4722222222222222,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.5277777777777778,0.5277777777777778,0.0,0.05555555555555555,0.0,0.0,0.9444444444444444,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.19444444444444445,0.8055555555555556,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PA,319,0.9905956112852664,0.9216300940438872,0.8369905956112853,0.08150470219435736,0.15047021943573669,0.0,0.0,0.0,0.0,0.0,0.0,0.25705329153605017,0.0,0.7084639498432602,0.0,0.9216300940438872,0.7429467084639498,0.7429467084639498,0.29153605015673983,0.07836990595611286,0.07836990595611286,0.0,0.4263322884012539,0.0,0.5266457680250783,0.5736677115987461,0.009404388714733543,0.009404388714733543,0.009404388714733543,0.009404388714733543,0.009404388714733543,0.009404388714733543,0.009404388714733543,0.16300940438871472,0.8369905956112853,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PR,12,1.0,1.0,0.75,0.0,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RI,8,1.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,1.0,0.0,1.0,0.375,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
